Record Name,PRJ Type,Usage,Lib Type,Pti-State,LB Pti-State,Stack group,Date_Time,Visual,LPI,EC,Dimensional,MfgMonth,MfgYear_YY,Fail Reason,Tracker Result,SubGroup,Failure Type,intSite,iPTI,Picked,Critical Defect,NDT_Comment,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2386,GD,D,B3,2,0,,9/24/2021 17:14,0,0,0,0,3,2011,none,1,4,4,1,0,0,3,,2.164,2.29,3.023,3.118,3.138,3.313,3.366,4.04,4.209,4.251,4.337,4.713,5.048,5.163,5.517,5.994,6.051,6.216,6.605,6.926,7.151,8.284,8.341,5.111,5.678,3.743,6.118,11.359
4309,GD,D,B3,2,0,,9/24/2021 17:00,0,0,0,0,2,2012,none,1,4,4,1,0,0,3,,2.16,2.289,3.016,3.118,3.151,3.314,3.367,4.033,4.2,4.249,4.339,4.698,5.04,5.164,5.511,5.982,6.049,6.223,6.609,6.96,7.134,8.262,8.342,5.108,5.68,3.744,6.118,11.321
8060,UN,D,B3,2,0,,10/15/2021 20:53,2,2,2,0,0,0,,0,0,0,1,0,0,3,,2.188,2.301,3.018,3.131,3.171,3.315,3.405,4.082,4.202,4.293,4.37,4.738,5.077,5.208,5.541,6.002,6.076,6.267,6.641,6.954,7.188,8.306,8.402,5.135,5.701,3.755,6.153,11.428
6551,GD,D,B3,2,0,,10/13/2021 21:38,0,0,0,0,12,15,_none,1,4,4,1,0,0,3,,2.153,2.29,3.009,3.112,3.143,3.305,3.361,4.024,4.183,4.242,4.34,4.699,5.027,5.148,5.497,5.961,6.018,6.217,6.594,6.889,7.125,8.26,8.349,5.081,5.667,3.743,6.101,11.287
4258,GD,D,B3,2,0,,10/12/2021 16:50,0,0,0,2,1,2012,none,1,4,4,1,0,0,3,,2.175,2.298,2.998,3.118,3.156,3.314,3.396,4.072,4.199,4.287,4.373,4.727,5.065,5.201,5.525,5.983,6.058,6.252,6.627,6.918,7.163,8.293,8.38,5.11,5.698,3.749,6.137,11.36
6393,GD,D,B3,2,0,,9/30/2021 19:56,0,0,0,2,9,2015,none,1,4,4,1,0,0,3,,2.178,2.301,3.028,3.135,3.165,3.325,3.398,4.081,4.222,4.294,4.377,4.736,5.08,5.21,5.548,6.018,6.078,6.261,6.651,6.963,7.181,8.327,8.409,5.139,5.714,3.766,6.161,11.417
8057,GD,D,GD,2,2,,2/7/2022 19:03,0,0,0,0,8,2017,none,1,4,4,1,0,0,3,,2.183,2.305,3.018,3.13,3.169,3.334,3.413,4.089,4.239,4.306,4.376,4.738,5.092,5.227,5.547,6.032,6.109,6.277,6.663,6.962,7.185,8.332,8.415,5.16,5.718,3.765,6.179,11.409
4798,B3,D,B3,2,2,,4/11/2022 22:51,1,0,0,0,12,2012,_ImpactDamage,1,3,5,1,0,0,2,,2.172,2.296,3.009,3.128,3.163,3.32,3.399,4.08,4.213,4.287,4.358,4.726,5.071,5.206,5.529,6.006,6.065,6.252,6.641,6.951,7.168,8.302,8.404,5.127,5.705,3.754,6.149,11.372
4798,B2,D,B3,3,3,,4/13/2022 19:17,1,0,0,0,12,2012,_ImpactDamage,1,3,5,1,0,0,2,,2.177,2.3,3.012,3.13,3.167,3.323,3.403,4.077,4.219,4.293,4.365,4.733,5.079,5.214,5.537,6.015,6.075,6.26,6.649,6.964,7.18,8.313,8.417,5.135,5.712,3.759,6.16,11.387
4587,UN,D,B3,2,2,,4/21/2022 18:15,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.168,2.292,3.019,3.131,3.166,3.321,3.403,4.078,4.209,4.287,4.356,4.725,5.07,5.204,5.53,6.014,6.071,6.257,6.646,6.955,7.175,8.314,8.408,5.128,5.704,3.747,6.154,11.389
6139,GD,D,B3,2,2,,4/26/2022 20:20,2,2,2,2,4,2015,none,1,4,4,1,0,0,3,,2.177,2.295,3.026,3.136,3.168,3.312,3.394,4.064,4.195,4.269,4.347,4.718,5.054,5.192,5.524,5.985,6.051,6.257,6.644,6.986,7.164,8.306,8.41,5.106,5.698,3.76,6.128,11.372
6141,GD,D,B3,2,2,,4/26/2022 18:06,2,2,2,2,4,2015,none,1,4,4,1,0,0,3,,2.161,2.28,3.0,3.112,3.144,3.285,3.379,4.042,4.157,4.24,4.312,4.683,5.017,5.167,5.487,5.938,6.011,6.223,6.609,6.94,7.121,8.254,8.369,5.085,5.663,3.728,6.107,11.302
4291,UN,D,GD,2,2,,5/12/2022 0:27,2,2,2,2,0,0,,0,0,0,3,0,0,0,,2.176,2.3,3.005,3.125,3.147,3.312,3.379,4.047,4.198,4.256,4.334,4.699,5.043,5.176,5.503,5.982,6.041,6.235,6.618,6.935,7.14,8.275,8.374,5.105,5.687,3.744,6.124,11.318
9066,UN,D,UN,2,0,,5/17/2022 19:45,2,2,2,2,0,0,,0,0,0,1,0,0,0,,2.19,2.304,3.016,3.137,3.185,3.319,3.428,4.11,4.214,4.304,4.385,4.746,5.097,5.23,5.532,6.018,6.08,6.279,6.658,6.985,7.191,8.336,8.426,5.136,5.712,3.76,6.172,11.421
