DB Index,Part Name,Batch Name,Log Date,Temp,PTI State,Comment,Ref,VIPR Code/Note,Part Class,Critical Defect,Dimensional,EC,Failure Type,LPI,Picked,SubGroup,Visual,intSite,Fail Reason,NDT_Comment,Tracker Result,MfgMonth,MfgYear (YY),Result,%PeaksIn,PTIScore,Freq 1,Freq 2,Freq 3,Freq 4,Freq 5,Freq 6,Freq 7,Freq 8,Freq 9,Freq 10,Freq 11,Freq 12,Freq 13,Freq 14,Freq 15,Freq 16,Freq 17,Freq 18,Freq 19,Freq 20,Freq 21,Freq 22,Freq 23,Freq 24,Freq 25,Freq 26,Freq 27,Freq 28,Freq 1,Amp 1,ZW 1,D2 1,Q 1,Freq 2,Amp 2,ZW 2,D2 2,Q 2,Freq 3,Amp 3,ZW 3,D2 3,Q 3,Freq 4,Amp 4,ZW 4,D2 4,Q 4,Freq 5,Amp 5,ZW 5,D2 5,Q 5,Freq 6,Amp 6,ZW 6,D2 6,Q 6,Freq 7,Amp 7,ZW 7,D2 7,Q 7,Freq 8,Amp 8,ZW 8,D2 8,Q 8,Freq 9,Amp 9,ZW 9,D2 9,Q 9,Freq 10,Amp 10,ZW 10,D2 10,Q 10,Freq 11,Amp 11,ZW 11,D2 11,Q 11,Freq 12,Amp 12,ZW 12,D2 12,Q 12,Freq 13,Amp 13,ZW 13,D2 13,Q 13,Freq 14,Amp 14,ZW 14,D2 14,Q 14,Freq 15,Amp 15,ZW 15,D2 15,Q 15,Freq 16,Amp 16,ZW 16,D2 16,Q 16,Freq 17,Amp 17,ZW 17,D2 17,Q 17,Freq 18,Amp 18,ZW 18,D2 18,Q 18,Freq 19,Amp 19,ZW 19,D2 19,Q 19,Freq 20,Amp 20,ZW 20,D2 20,Q 20,Freq 21,Amp 21,ZW 21,D2 21,Q 21,Freq 22,Amp 22,ZW 22,D2 22,Q 22,Freq 23,Amp 23,ZW 23,D2 23,Q 23,Freq 24,Amp 24,ZW 24,D2 24,Q 24,Freq 25,Amp 25,ZW 25,D2 25,Q 25,Freq 26,Amp 26,ZW 26,D2 26,Q 26,Freq 27,Amp 27,ZW 27,D2 27,Q 27,Freq 28,Amp 28,ZW 28,D2 28,Q 28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1051,45760439_1450,9/12/2023 18:54,23.3,2,,TRUE,,GD,No Defect,Not Done,Pass,,Not Done,Pass,,Pass,110_LVL (new),none,,,2,2000,Fail,0,0,-0.143,0.216,0.238,0.022,-0.321,-0.085,0.03,-0.122,-0.086,0.862,-0.057,-0.086,0,-0.088,-0.042,-0.048,0.465,-0.081,-0.048,1.06,-0.012,-100,0.004,-100,-0.109,-0.048,-0.071,-0.076,-0.143,1.04,-33.139,51.48,49.351,0.216,1463.379,87.896,47.59,-46.664,0.238,1581.35,47.941,-177.558,-32.245,0.022,1065.274,-8.148,-81.515,8.895,-0.321,390.741,-5.662,-31.992,5.662,-0.085,731.436,9.723,-70.444,-8.938,0.03,1715.768,-18.079,-138.636,22.105,-0.122,552.153,3.807,-90.857,-3.785,-0.086,900.031,7.987,-75.474,-7.476,0.862,378.013,-29.795,-95.072,43.669,-0.057,13.007,37.972,18.051,-27.563,-0.086,1026.414,9.957,-54.959,-9.134,0,809.875,-4.129,-39.374,4.307,-0.088,676.028,-6.489,-23.593,6.846,-0.042,985.161,38.817,-40.827,-27.993,-0.048,1069.272,33.974,-262.999,-25.395,0.465,4.341,-5.397,-72.239,6.196,-0.081,638.166,26.587,19.678,-21.067,-0.048,2680.175,29.952,2.414,-23.085,1.06,1663.759,-3.025,-288.679,4.213,-0.012,88.248,1.119,-29.168,-1.119,-100,-100,-100,100,-100,0.004,281.184,-24.324,-173.968,32.147,-100,-100,-100,100,-100,-0.109,-62.075,22.4,40.899,-18.39,-0.048,388.712,38.077,37.105,-27.612,-0.071,420.705,13.099,-46.903,-11.645,-0.076,-82.72,46.694,40.812,-31.883
1,2386,45404810_86833,3/17/2023 15:20,23.1,2,,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,110_LVL (new),none,,,11,2003,Fail,0,0,-0.304,0.806,0.316,0.371,0.158,0.423,0.268,0.306,0.417,0.422,0.394,0.3,0.365,0.365,0.277,0.395,0.093,0.281,0.229,0.3,0.348,-100,0.37,0.377,0.317,0.455,0.322,-100,-0.304,304.623,-71.172,82.877,245.83,0.806,556.437,60.525,83.63,-37.202,0.316,669.247,3.711,-12.768,-3.274,0.371,681.863,-28.633,-83.204,40.64,0.158,1056.413,48.824,75.381,-32.701,0.423,800.631,-2.739,-38.772,3.251,0.268,344.924,7.093,-19.364,-6.373,0.306,776.441,-25.28,-52.274,34.243,0.417,457.76,-23.473,-76.175,31.219,0.422,461.694,-53.508,-261.903,115.998,0.394,-16.233,-25.172,-85.294,34.166,0.3,863.351,-6.978,-68.009,7.823,0.365,413.35,-20.055,-36.357,25.543,0.365,1.551,-4.693,-22.784,5.307,0.277,-11.522,-23.232,-57.75,30.624,0.395,820.139,-38.694,-194.395,63.761,0.093,91.451,-5.839,-69.368,6.299,0.281,-12.998,-2.104,-0.956,2.437,0.229,23.295,-15.115,-34.281,18.076,0.3,-57.854,23.972,-76.213,-19.094,0.348,95.145,-32.909,-138.051,49.569,-100,-100,-100,100,-100,0.37,496.905,-51.694,-522.536,107.78,0.377,926.087,-30.228,-124.292,43.863,0.317,-36.709,-43.103,-35.644,76.314,0.455,335.222,-46.851,19.243,89.008,0.322,9.559,-16.34,-23.137,19.915,-100,-100,-100,100,-100
2,2546,45681871_1450,7/27/2023 17:53,24.8,2,,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,0,0,Fail,0,0,0.254,0.235,-0.006,0.003,-0.341,0.04,0.059,-0.032,0.048,0.047,0.069,0.028,0.062,0.056,0.002,-0.003,0.028,0.016,-0.012,-0.005,0.034,0.007,-0.007,0.064,-0.058,-0.018,0.026,-0.012,0.254,770.523,-23.371,1.203,30.83,0.235,832.519,28.626,35.939,-22.073,-0.006,771.592,8.788,-24.893,-8.083,0.003,760.511,-24.751,-130.893,32.896,-0.341,163.658,109.535,19.117,-52.438,0.04,578.857,26.662,-14.36,-21.018,0.059,906.842,-17.039,-164.357,20.61,-0.032,366.589,17.325,-25.745,-14.795,0.048,570.49,-8.024,-39.406,8.776,0.047,772.716,-0.175,-116.567,0.223,0.069,-25.038,-6.175,-2.39,6.655,0.028,573.913,16.962,-37.376,-14.479,0.062,437.239,39.211,27.664,-28.122,0.056,441.201,7.717,-52.562,-7.112,0.002,19.053,32.767,26.564,-24.679,-0.003,577.273,-2.736,-92.23,2.81,0.028,574.779,-15.905,-70.203,18.946,0.016,-24.762,4.791,18.91,-4.557,-0.012,1568.188,50.201,39.77,-33.43,-0.005,-41.053,42.033,41.264,-29.597,0.034,-5.322,2.191,-20.927,-2.111,0.007,-22.899,-14.332,-43.575,16.738,-0.007,-27.617,11.52,16.009,-10.336,0.064,500.595,-5.643,-66.228,6.048,-0.058,-57.357,61.533,67.919,-38.129,-0.018,-49.414,38.853,46.002,-27.994,0.026,312.917,10.104,-20.942,-9.153,-0.012,-77.814,8.483,37.352,-7.831
3,2798,45523806_1450,5/8/2023 19:51,23.4,2,,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,4,2006,Fail,0,0,-0.443,-1.298,-0.079,-0.022,-0.176,-0.045,0.05,-0.067,0.023,-0.671,0.137,0.067,0.122,-0.005,0.015,0.029,0.055,-0.016,-0.04,0.018,0.04,-0.005,-0.029,0.04,-0.081,-0.031,-0.027,-0.146,-0.443,-64.855,3.582,-595.618,-3.886,-1.298,-20.587,-66.188,-284.859,191.917,-0.079,660.472,-16.872,3.475,20.201,-0.022,393.155,19.97,35.323,-16.664,-0.176,21.622,83.672,-33.44,-45.651,-0.045,406.216,38.909,-36.661,-28.042,0.05,1130.876,-20.731,-58.952,26.217,-0.067,237.605,-27.484,-93.62,37.808,0.023,444.46,1.462,-3.709,-1.418,-0.671,272.458,-3.536,3.584,2.97,0.137,1061.584,28.529,6.231,-22.09,0.067,596.984,-3.462,-11.272,3.656,0.122,523.606,39.626,46.105,-28.293,-0.005,425.702,8.765,25.622,-8.063,0.015,1028.452,24.118,-22.104,-19.419,0.029,14.274,-13.108,49.077,15.119,0.055,926.217,17.982,16.051,-15.195,-0.016,508.943,1.824,0.625,-1.807,-0.04,363.807,10.627,-32.132,-9.642,0.018,544.134,-42.376,78.83,73.57,0.04,601.957,11.708,23.47,-10.445,-0.005,870.396,36.332,-92.35,-26.653,-0.029,450.246,1.825,15.805,-1.82,0.04,222.748,36.785,39.513,-26.863,-0.081,-41.586,21.765,-3.246,-17.941,-0.031,587.985,37.94,-6.306,-27.527,-0.027,217.088,-34.481,-61.124,52.586,-0.146,40.89,-84.559,69.776,546.677
4,3171,45744613_1450,8/26/2023 18:53,24.8,2,,TRUE,,GD,No Defect,Pass,Pass,,Not Done,Pass,,Pass,300_FW,none,,,8,2007,Fail,0,0,-0.156,0.813,0.058,0.013,0.053,0.05,-0.099,0.093,0.024,-0.039,-0.03,-0.008,-0.091,0.067,-0.027,-0.032,-0.008,0.01,0.02,0.014,-0.024,0.002,-0.006,-100,0.049,-0.042,0.055,0.072,-0.156,-28.81,74.219,57.318,-42.691,0.813,-49.961,420.146,89.62,-80.618,0.058,-14.911,7.14,13.088,-6.61,0.013,-40.54,10.488,24.967,-9.481,0.053,-18.27,32.11,30.547,-24.266,0.05,-29.228,-4.902,6.215,5.208,-0.099,-72.468,56.134,48.369,-36.016,0.093,17.653,-10.447,8.219,11.769,0.024,-45.152,-0.244,-3.205,0.268,-0.039,-65.14,6.907,-38.821,-6.498,-0.03,-86.829,65.069,67.774,-39.438,-0.008,-58.29,3.523,27.322,-3.411,-0.091,-56.646,22.858,26.375,-18.679,0.067,6.122,20.154,-51.153,-16.718,-0.027,-68.794,-8.171,3.522,8.868,-0.032,-41.947,-19.112,-69.636,23.588,-0.008,-91.376,-13.43,3.714,15.505,0.01,-57.571,1.101,4.288,-1.079,0.02,-56.215,12.1,3.91,-10.776,0.014,-42.305,-12.423,-26.972,14.201,-0.024,-56.539,-3.272,-12.755,3.358,0.002,-71.377,27.793,40.425,-21.747,-0.006,-72.344,-11.513,-28.42,13.004,-100,-100,-100,100,-100,0.049,-41.157,-2.408,-1.288,2.518,-0.042,-38.82,-12.983,-33.032,14.872,0.055,-17.851,10.648,17.456,-9.573,0.072,-52.484,0.624,-167.299,-0.549
5,4102P,45533791_1450,5/11/2023 23:30,25.2,2,,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,11,2010,Fail,0,0,-0.67,-0.161,-0.526,-0.309,-0.463,0,-0.102,-0.015,0.015,-0.023,-0.366,-0.154,0.116,0.06,0.061,0.095,0.122,-0.106,-0.055,0.018,0.245,0.317,-0.087,0.043,-0.049,-0.269,0.067,0.071,-0.67,374.181,-7.191,73.662,7.026,-0.161,256.596,-59.802,87.8,148.371,-0.526,416.059,3.002,-74.033,-3.425,-0.309,340.117,-10.787,-32.829,11.745,-0.463,722.753,134.197,39.519,-57.498,0,464.12,15.453,6.718,-13.385,-0.102,514.829,14.686,-17.161,-12.894,-0.015,297.878,-25.898,-76.904,34.928,0.015,447.502,-8.42,-35.874,9.211,-0.023,738.145,-19.038,-119.9,23.486,-0.366,677.44,-3.874,-68.614,3.649,-0.154,449.731,-13.385,-111.69,15.276,0.116,395.287,0.174,-17.7,-0.058,0.06,524.716,9.017,-8.341,-8.216,0.061,-29.496,18.444,-4.548,-15.52,0.095,748.188,5.391,-112.487,-5.025,0.122,1340.423,28.318,-131.344,-21.973,-0.106,854.558,-17.9,-181.712,21.673,-0.055,-47.506,15.627,43.883,-13.563,0.018,623.744,215.839,-208.763,-68.333,0.245,10.704,-23.51,-105.817,31.057,0.317,-63.41,-42.844,-157.987,75.515,-0.087,12.813,-33.463,-52.886,50.162,0.043,368.34,46.903,36.727,-31.899,-0.049,158.465,-19.472,45.221,24.12,-0.269,133.396,-12.795,9.889,14.364,0.067,52.188,-6.002,-15.921,6.456,0.071,-70.155,38.343,63.176,-27.665
6,4237,45827890_1450,10/17/2023 14:58,22.4,2,,TRUE,,GD,No Defect,Not Done,Pass,,Not Done,Pass,,Pass,110_LVL (new),none,0,,10,2011,Fail,0,0,0.101,0.278,-0.025,-0.051,-0.236,-0.01,-0.039,-0.091,-0.016,0.008,0.015,-0.055,0.028,-0.049,-0.038,-0.023,-0.005,-0.018,-0.038,-0.461,0.013,-0.019,-0.012,-100,-0.072,-0.027,-0.289,-0.032,0.101,1008.253,7.179,-11.357,-6.605,0.278,1227.957,7.609,32.79,-6.813,-0.025,1740.242,-17.793,-215.919,21.613,-0.051,823.656,-14.318,-106.126,16.651,-0.236,202.374,31.707,-100.276,-24.253,-0.01,1224.116,-22.22,-270.592,28.554,-0.039,1207.765,14.852,-82.067,-12.966,-0.091,535.671,-12.349,-158.288,13.985,-0.016,821.873,-1.471,-73.858,1.476,0.008,1114.045,17.431,-49.288,-14.837,0.015,14.412,25.849,21.073,-20.528,-0.055,1147.443,-26.328,-166.01,35.662,0.028,878.541,5.151,-44.268,-4.872,-0.049,512.302,-12.529,-45.074,14.267,-0.038,517.656,29.242,-17.005,-22.655,-0.023,1000.732,4.678,-139.608,-4.492,-0.005,1044,5.21,-113.996,-4.957,-0.018,700.162,47.736,38.428,-32.323,-0.038,2390.93,26.515,21.269,-20.988,-0.461,183.145,-31.568,-68.109,45.457,0.013,91.603,-9.244,-53.205,10.2,-0.019,146.001,-8.635,-70.059,9.43,-0.012,326.197,-9.804,-65.027,10.856,-100,-100,-100,100,-100,-0.072,-67.86,-26.539,51.41,36.03,-0.027,476.985,42.521,9.007,-29.854,-0.289,81.145,-17.581,26.034,20.98,-0.032,-85.188,7.798,38.105,-7.263
7,4258,45323100_1450,1/20/2023 18:52,24.4,2,,TRUE,,GD,No Defect,Not Done,Pass,Green,Not Done,Pass,Green,Pass,300_FW,none,,,0,0,Fail,0,0,0.025,0.236,0.185,0.188,0.075,0.221,0.087,0.11,0.143,0.121,0.07,0.115,0.11,0.116,0.099,0.134,0.105,0.144,0.133,0.619,0.147,0.049,0.121,0.126,0.164,0.106,0.268,0.131,0.025,190.886,31.921,34.364,-24.178,0.236,324.47,10.946,45.065,-9.653,0.185,301.522,-20.209,-13.564,25.559,0.188,260.4,-9.839,-40.657,11.121,0.075,263.458,-40.027,-140.608,66.867,0.221,279.149,-3.75,-24.775,4.126,0.087,148.91,-20.605,-30.586,26.063,0.11,296.457,-32.679,-173.885,48.704,0.143,186.517,-14.369,-44.305,16.948,0.121,214.313,-18.856,-63.992,23.388,0.07,111.289,-21.056,-67.616,26.76,0.115,187.49,-19.399,-60.477,24.21,0.11,-67.795,-10.404,7.766,11.735,0.116,264.569,-23.507,-150.015,30.883,0.099,-52.991,-36.594,-94.738,57.869,0.134,376.969,-34.149,-238.156,52.062,0.105,376.804,-47.415,-339.508,90.368,0.144,308.262,-31.022,-157.639,45.182,0.133,485.165,-16.746,-182.058,20.273,0.619,-36.687,29.4,-16.075,-22.242,0.147,-46.266,-29.713,-110.634,42.484,0.049,-88.168,-37.227,0.413,59.382,0.121,-77.534,-44.881,-128.524,81.646,0.126,255.248,-29.089,-150.359,41.199,0.164,-27.978,-36.121,-144.214,56.802,0.106,39.264,1.898,35.404,-1.759,0.268,-36.097,-47.789,-82.581,92.043,0.131,-72.592,3.327,55.389,-3.093
8,4268,45725950_1450,8/18/2023 0:03,30.2,2,,TRUE,,GD,No Defect,Pass,Pass,Green,Not Done,Pass,Green,Pass,400_LA (new),none,,,1,2012,Fail,0,0,-0.279,-0.343,-0.043,-0.052,-0.001,0,0.029,-0.031,0.015,0.039,0,-0.008,-0.023,-0.063,0.002,-0.013,-0.027,-0.027,-0.025,0.066,-0.022,-100,-0.031,-0.355,-0.011,-0.053,-0.019,0.009,-0.279,120.299,-69.883,-153.186,231.113,-0.343,145.336,-49.664,-69.202,97.982,-0.043,185.177,24.159,37.022,-19.493,-0.052,226.423,1.116,14.562,-1.155,-0.001,163.242,22.701,26.088,-18.502,0,194.195,1.916,1.702,-1.88,0.029,279.683,-35.753,-80.733,55.695,-0.031,188.137,1.443,-7.947,-1.453,0.015,230.031,-4.121,-2.146,4.315,0.039,270.793,-3.812,-24.508,4.003,0,205.958,10.811,20.505,-9.756,-0.008,220.457,2.368,-3.094,-2.321,-0.023,220.267,-0.406,-24.611,0.384,-0.063,157.352,-32.34,-50.923,47.704,0.002,249.591,-38.076,-33.463,61.491,-0.013,142.244,6.732,17.681,-6.32,-0.027,132.941,-6.951,1.088,7.441,-0.027,133.001,11.706,16.361,-10.504,-0.025,166.243,8.878,-46.064,-8.178,0.066,55.992,-0.027,-41.104,0.093,-0.022,229.228,-18.792,-74.379,23.114,-100,-100,-100,100,-100,-0.031,-75.519,-12.653,4.155,14.45,-0.355,146.373,-39.042,-40.981,63.466,-0.011,122.772,6.892,-24.933,-6.458,-0.053,173.565,42.488,29.248,-29.856,-0.019,52.203,9.426,29.547,-8.631,0.009,22.797,-22.618,-77.305,29.241
