DB Index,Part Name,Batch Name,Log Date,Temp,PTI State,Comment,Ref,VIPR Code/Note,Part Class,Critical Defect,Dimensional,EC,Failure Type,LPI,Picked,SubGroup,Visual,intSite,Fail Reason,NDT_Comment,Tracker Result,MfgMonth,MfgYear (YY),Result,MTS,Bias,%Error,Freq 2,Freq 3,Freq 6,Freq 7,Freq 8,Freq 11,Freq 14,Freq 15,Freq 18,Freq 21,Freq 26,Freq 1,Amp 1,ZW 1,D2 1,Q 1,Freq 2,Amp 2,ZW 2,D2 2,Q 2,Freq 3,Amp 3,ZW 3,D2 3,Q 3,Freq 4,Amp 4,ZW 4,D2 4,Q 4,Freq 5,Amp 5,ZW 5,D2 5,Q 5,Freq 6,Amp 6,ZW 6,D2 6,Q 6,Freq 7,Amp 7,ZW 7,D2 7,Q 7,Freq 8,Amp 8,ZW 8,D2 8,Q 8,Freq 9,Amp 9,ZW 9,D2 9,Q 9,Freq 10,Amp 10,ZW 10,D2 10,Q 10,Freq 11,Amp 11,ZW 11,D2 11,Q 11,Freq 12,Amp 12,ZW 12,D2 12,Q 12,Freq 13,Amp 13,ZW 13,D2 13,Q 13,Freq 14,Amp 14,ZW 14,D2 14,Q 14,Freq 15,Amp 15,ZW 15,D2 15,Q 15,Freq 16,Amp 16,ZW 16,D2 16,Q 16,Freq 17,Amp 17,ZW 17,D2 17,Q 17,Freq 18,Amp 18,ZW 18,D2 18,Q 18,Freq 19,Amp 19,ZW 19,D2 19,Q 19,Freq 20,Amp 20,ZW 20,D2 20,Q 20,Freq 21,Amp 21,ZW 21,D2 21,Q 21,Freq 22,Amp 22,ZW 22,D2 22,Q 22,Freq 23,Amp 23,ZW 23,D2 23,Q 23,Freq 24,Amp 24,ZW 24,D2 24,Q 24,Freq 25,Amp 25,ZW 25,D2 25,Q 25,Freq 26,Amp 26,ZW 26,D2 26,Q 26,Freq 27,Amp 27,ZW 27,D2 27,Q 27,Freq 28,Amp 28,ZW 28,D2 28,Q 28,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2386,44478549_11846,9/24/2021 17:14,23.4,2,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  09/24/21 07:40,FALSE,,GD,No Defect,Pass,Pass,Green,Pass,Pass,Green,Pass,100_LVL (old),none,,,3,2011,Pass,0,0,,2.29,3.023,3.313,3.366,4.04,4.337,5.163,5.517,6.216,7.151,3.743,-1.379,0.167,-0.442,-1.787,-1.484,-1.143,-1.845,-0.619,-1.871,-0.716,-1.521,2.164,0.064,0.012,-59.769,0.179,2.29,0.044,0.005,-138.765,0.417,3.023,0.019,0.007,-64.506,0.442,3.118,0.042,0.009,-74.08,0.353,3.138,0.018,0.005,-206.788,0.682,3.313,0.016,0.007,-67.883,0.445,3.366,0.008,0.007,-57.478,0.476,4.04,0.016,0.009,-54.998,0.455,4.209,0.011,0.007,-124.197,0.607,4.251,0.011,0.008,-56.837,0.535,4.337,0.111,0.007,-78.52,0.582,4.713,0.008,0.007,-73.892,0.633,5.048,0.017,0.01,-62.456,0.509,5.163,0.079,0.007,-95.459,0.755,5.517,0.057,0.007,-100.159,0.788,5.994,0.007,0.008,-31.72,0.737,6.051,0.019,0.006,-73.291,0.997,6.216,0.061,0.008,-90.706,0.824,6.605,0.025,0.009,-61.731,0.775,6.926,0.006,0.007,-28.349,0.998,7.151,0.052,0.011,-38.907,0.678,8.284,0.004,0.006,-18.699,1.46,8.341,0.009,0.018,-10.575,0.466,5.111,0.01,0.007,-83.905,0.683,5.678,0.013,0.008,-102.972,0.713,3.743,0.034,0.008,-79.604,0.489,6.118,0.053,0.008,-71.743,0.75,11.36,0.007,0.012,-14.908,0.909
1,4309,44500617_1450,9/24/2021 17:00,23.4,2,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  09/24/21 07:26,FALSE,,GD,No Defect,Pass,Pass,Green,Pass,Pass,Green,Pass,100_LVL (old),none,,,2,2012,Pass,0,0,,2.289,3.016,3.314,3.367,4.033,4.339,5.164,5.511,6.223,7.134,3.744,-1.541,-0.403,-0.339,-1.707,-1.857,-1.027,-1.82,-0.975,-1.545,-1.574,-1.352,2.16,0.057,0.013,-38.584,0.165,2.289,0.055,0.01,-52.863,0.221,3.016,0.018,0.011,-44.889,0.268,3.118,0.04,0.01,-51.721,0.316,3.151,0.013,0.005,-129.914,0.639,3.314,0.018,0.007,-85.564,0.463,3.367,0.012,0.008,-52.296,0.4,4.033,0.01,0.011,-41.39,0.38,4.2,0.014,0.007,-120.257,0.621,4.249,0.014,0.008,-64.201,0.52,4.339,0.178,0.007,-77.441,0.622,4.698,0.011,0.008,-54.775,0.589,5.04,0.031,0.009,-68.037,0.567,5.164,0.01,0.008,-46.533,0.654,5.511,0.063,0.008,-87.877,0.685,5.982,0.008,0.015,-17.351,0.388,6.049,0.005,0.007,-51.383,0.855,6.223,0.056,0.009,-62.244,0.72,6.609,0.021,0.008,-41.902,0.823,6.96,0.026,0.009,-71.803,0.802,7.134,0.053,0.013,-25.322,0.563,8.262,0.008,0.019,-11.143,0.428,8.342,0.008,0.012,-21.505,0.673,5.108,0.046,0.006,-77.601,0.805,5.68,0.011,0.009,-65.999,0.604,3.744,0.251,0.008,-67.242,0.457,6.118,0.038,0.007,-99.283,0.848,11.321,0.02,0.013,-20.177,0.877
2,8060,44539676_1450,10/15/2021 20:53,24.4,2,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  10/15/21 11:20,FALSE,,UN,No Defect,Pass,Not Done,,Not Done,Pass,,Not Done,100_LVL (old),,,,0,0,Pass,0,0,,2.301,3.018,3.315,3.405,4.082,4.37,5.208,5.541,6.267,7.188,3.755,-0.198,-0.281,-0.27,0.551,0.714,0.752,0.375,0.829,0.365,1.142,-0.224,2.188,0.069,0.01,-43.372,0.219,2.301,0.072,0.008,-72.105,0.275,3.018,0.022,0.008,-48.996,0.365,3.131,0.041,0.006,-156.545,0.515,3.171,0.034,0.009,-52.433,0.358,3.315,0.023,0.007,-77.784,0.464,3.405,0.012,0.011,-44.414,0.32,4.082,0.012,0.01,-30.725,0.397,4.202,0.019,0.006,-146.248,0.673,4.293,0.013,0.01,-45.01,0.448,4.37,0.028,0.008,-64.199,0.526,4.738,0.018,0.007,-49.212,0.651,5.077,0.315,0.009,-65.93,0.574,5.208,0.015,0.01,-29.587,0.504,5.541,0.009,0.009,-48.513,0.6,6.002,0.011,0.011,-38.902,0.568,6.075,0.012,0.013,-20.717,0.46,6.267,0.011,0.01,-38.318,0.611,6.641,0.004,0.009,-29.287,0.715,6.954,0.019,0.006,-23.262,1.126,7.188,0.095,0.013,-19.349,0.56,8.306,0.017,0.009,-16.216,0.95,8.402,0.029,0.022,-8.979,0.387,5.135,0.043,0.005,-108.631,1.005,5.701,0.009,0.005,-13.323,1.201,3.755,0.046,0.008,-72.967,0.491,6.153,0.008,0.008,-60.119,0.758,11.428,0.017,0.015,-21.109,0.769
3,6551,44530128_1450,10/13/2021 21:38,25.3,2,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  10/13/21 12:04,FALSE,,GD,No Defect,Pass,Pass,Green,Pass,Pass,Green,Pass,100_LVL (old),_none,,,12,15,Pass,0,0,,2.29,3.009,3.305,3.361,4.024,4.34,5.148,5.497,6.217,7.125,3.743,-1.425,-1.059,-1.266,-2.074,-2.299,-0.982,-2.618,-1.796,-1.831,-1.996,-1.482,2.153,0.078,0.014,-49.32,0.155,2.29,0.066,0.005,-141.673,0.464,3.009,0.023,0.01,-68.318,0.294,3.112,0.058,0.009,-54.796,0.335,3.143,0.02,0.005,-128.79,0.579,3.305,0.022,0.008,-84.207,0.436,3.361,0.012,0.008,-53.544,0.411,4.024,0.017,0.01,-38.266,0.413,4.183,0.014,0.006,-130.35,0.657,4.242,0.026,0.008,-64.246,0.517,4.34,0.021,0.008,-64.606,0.558,4.699,0.015,0.009,-72.294,0.551,5.027,0.037,0.009,-65.215,0.582,5.148,0.02,0.008,-52.957,0.664,5.497,0.009,0.008,-67.573,0.723,5.961,0.014,0.009,-46.12,0.637,6.018,0.012,0.011,-34.385,0.57,6.217,0.115,0.008,-86.788,0.809,6.594,0.031,0.008,-58.088,0.788,6.889,0.014,0.006,-45.032,1.125,7.125,0.113,0.014,-23.533,0.493,8.26,0.03,0.014,-17.745,0.573,8.349,0.037,0.014,-21.25,0.602,5.081,0.013,0.006,-160.655,0.913,5.667,0.013,0.009,-61.333,0.61,3.743,0.041,0.008,-68.58,0.465,6.101,0.013,0.007,-72.966,0.825,11.287,0.006,0.01,-29.405,1.082
4,4258,44511938_1450,10/12/2021 16:50,25.2,2,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  10/12/21 07:16,FALSE,,GD,No Defect,Not Done,Pass,Green,Pass,Pass,Green,Pass,100_LVL (old),none,,,1,2012,Pass,0,0,,2.298,2.998,3.314,3.396,4.072,4.373,5.201,5.525,6.252,7.163,3.748,-0.491,-1.975,-0.339,0.036,0.195,0.948,0.005,-0.127,-0.312,-0.109,-0.924,2.175,0.078,0.01,-53.41,0.209,2.298,0.095,0.008,-104.118,0.277,2.998,0.021,0.008,-77.127,0.36,3.118,0.034,0.007,-112.562,0.467,3.156,0.028,0.01,-45.641,0.309,3.314,0.021,0.007,-79.829,0.457,3.396,0.014,0.009,-52.776,0.381,4.072,0.013,0.009,-46.608,0.446,4.199,0.018,0.006,-156.506,0.679,4.287,0.017,0.008,-99.492,0.567,4.373,0.03,0.008,-71.141,0.539,4.727,0.021,0.009,-70.748,0.538,5.065,0.339,0.009,-80.467,0.547,5.201,0.019,0.008,-41.119,0.614,5.525,0.095,0.008,-87.831,0.692,5.983,0.013,0.009,-64.958,0.669,6.058,0.018,0.012,-28.708,0.518,6.252,0.016,0.008,-63.78,0.787,6.627,0.004,0.008,-33.741,0.835,6.918,0.018,0.006,-54.956,1.119,7.163,0.134,0.012,-30.674,0.598,8.293,0.028,0.009,-31.419,0.946,8.38,0.038,0.018,-13.903,0.47,5.11,0.007,0.005,-104.049,0.931,5.698,0.013,0.01,-58.065,0.548,3.748,0.041,0.007,-83.457,0.503,6.137,0.008,0.006,-68.42,1.068,11.36,0.018,0.011,-29.198,1
5,6393,44511946_1450,9/30/2021 19:56,25,2,Failed Sort COL1-001 OB 10-1631_PIK_SORT rev10  09/30/21 10:22,FALSE,,GD,No Defect,Not Done,Pass,Green,Pass,Pass,Green,Pass,100_LVL (old),none,,,9,2015,Pass,0,0,,2.301,3.028,3.325,3.398,4.081,4.377,5.21,5.548,6.261,7.181,3.766,-0.244,0.595,0.794,0.154,0.701,1.144,0.494,1.212,0.082,0.781,0.914,2.178,0.076,0.012,-69.65,0.179,2.301,0.067,0.006,-128.383,0.356,3.028,0.023,0.007,-67.09,0.437,3.135,0.045,0.006,-134.295,0.496,3.165,0.036,0.006,-96.383,0.575,3.325,0.019,0.008,-67.455,0.423,3.398,0.01,0.008,-57.414,0.442,4.081,0.019,0.008,-67.872,0.501,4.222,0.012,0.006,-123.098,0.653,4.294,0.018,0.007,-87.182,0.584,4.377,0.018,0.007,-76.544,0.606,4.736,0.014,0.01,-55.624,0.474,5.08,0.031,0.008,-67.732,0.61,5.21,0.018,0.007,-58.47,0.7,5.548,0.055,0.006,-71.288,0.859,6.018,0.016,0.01,-46.602,0.618,6.078,0.012,0.009,-47.439,0.683,6.261,0.013,0.008,-81.73,0.794,6.651,0.005,0.008,-47.848,0.788,6.963,0.019,0.006,-47.05,1.173,7.181,0.121,0.01,-42.714,0.705,8.327,0.028,0.014,-21.089,0.579,8.409,0.027,0.014,-21.972,0.598,5.139,0.01,0.006,-142.234,0.812,5.714,0.015,0.013,-129.929,0.437,3.766,0.313,0.007,-83.109,0.517,6.161,0.012,0.007,-75.648,0.853,11.417,0.008,0.01,-35.592,1.14
6,8057,44700699_1450,2/7/2022 19:03,22.4,2,QPLog 10-1631 (16) rev4,FALSE,,GD,No Defect,Pass,Pass,Green,Pass,Pass,Green,Pass,100_LVL (old),none,,,8,2017,Pass,0,0,,2.305,3.018,3.334,3.413,4.089,4.376,5.227,5.547,6.277,7.185,3.765,0.198,-0.263,1.703,1.051,1.082,1.105,1.301,1.182,0.81,0.994,0.834,2.183,0.034,0.01,-70.162,0.217,2.305,0.052,0.01,-67.474,0.241,3.018,0.014,0.009,-49.475,0.318,3.13,0.022,0.006,-159.486,0.555,3.169,0.012,0.007,-70.053,0.423,3.334,0.013,0.007,-84.533,0.456,3.413,0.012,0.011,-24.063,0.309,4.089,0.003,0.003,-51.895,1.39,4.239,0.012,0.006,-163.6,0.67,4.306,0.022,0.008,-76.733,0.515,4.376,0.027,0.007,-70.717,0.624,4.738,0.018,0.008,-56.447,0.625,5.092,0.041,0.008,-73.097,0.655,5.227,0.006,0.006,-52.008,0.861,5.547,0.095,0.008,-74.574,0.715,6.032,0.011,0.007,-33.809,0.827,6.109,0.008,0.006,-113.685,1.068,6.277,0.008,0.007,-83.432,0.939,6.663,0.002,0.009,-27.15,0.758,6.962,0.007,0.002,-4.458,3.217,7.185,0.04,0.015,-20.852,0.491,8.332,0.006,0.006,-88.717,1.412,8.415,0.011,0.015,-21.705,0.58,5.16,0.003,0.003,-76.112,1.581,5.718,0.011,0.009,-133.173,0.65,3.765,0.027,0.007,-114.098,0.545,6.179,0.003,0.003,-229,2.385,11.409,0.051,0.018,-7.96,0.629
7,4798,44824167_1450,4/11/2022 22:51,24.2,2,QPLog 10-1631 (16) rev3,FALSE,,B3,Non-Critical Defect,Pass,Pass,Blue,Pass,Pass,Yellow,Fail,100_LVL (old),_ImpactDamage,,,12,2012,Pass,0,0,,2.296,3.009,3.32,3.399,4.08,4.358,5.206,5.529,6.252,7.168,3.754,-0.751,-1.02,0.245,0.213,0.615,0.055,0.266,0.094,-0.303,0.156,-0.392,2.172,0.031,0.013,-42.452,0.165,2.296,0.038,0.011,-92.518,0.214,3.009,0.009,0.008,-53.435,0.366,3.128,0.024,0.006,-148.388,0.558,3.163,0.011,0.008,-49.898,0.409,3.32,0.01,0.007,-61.721,0.469,3.399,0.007,0.007,-40.279,0.457,4.08,0.004,0.008,-37.772,0.489,4.213,0.007,0.005,-106.085,0.802,4.287,0.011,0.007,-91.977,0.589,4.358,0.159,0.007,-80.036,0.654,4.726,0.009,0.009,-50.49,0.549,5.071,0.022,0.008,-53.664,0.615,5.206,0.009,0.007,-42.09,0.741,5.529,0.044,0.006,-117.24,0.969,6.006,0.007,0.008,-35.688,0.726,6.065,0.006,0.007,-38.336,0.857,6.252,0.006,0.006,-78.708,1.018,6.641,0.001,0.005,-75.867,1.313,6.951,0.006,0.003,-6.114,2.443,7.168,0.045,0.011,-25.034,0.624,8.302,0.005,0.007,-27.077,1.247,8.404,0.005,0.01,-19.467,0.872,5.127,0.003,0.004,-88.455,1.311,5.705,0.011,0.007,-102.757,0.876,3.754,0.148,0.008,-75.634,0.486,6.149,0.004,0.005,-68.837,1.227,11.372,0.042,0.013,-18.551,0.879
8,4798,44824167_1450,4/13/2022 19:17,23.9,3,QPLog 10-1631 (16) rev3,FALSE,,B2,Non-Critical Defect,Pass,Pass,Blue,Pass,Pass,Yellow,Fail,100_LVL (old),_ImpactDamage,,,12,2012,Pass,0,0,,2.3,3.012,3.323,3.403,4.077,4.365,5.214,5.537,6.26,7.18,3.759,-0.322,-0.823,0.554,0.471,0.478,0.459,0.665,0.563,0.068,0.727,0.166,2.177,0.029,0.009,-62.117,0.255,2.3,0.035,0.01,-90.017,0.228,3.012,0.008,0.008,-52.203,0.391,3.13,0.02,0.006,-142.106,0.562,3.167,0.009,0.007,-64.261,0.455,3.323,0.008,0.009,-40.122,0.367,3.403,0.006,0.008,-31.996,0.407,4.077,0.003,0.002,-9.787,2.094,4.219,0.007,0.006,-119.286,0.707,4.293,0.01,0.008,-64.877,0.558,4.365,0.15,0.008,-75.221,0.566,4.733,0.008,0.009,-44.246,0.534,5.079,0.02,0.009,-42.011,0.558,5.214,0.062,0.007,-46.173,0.799,5.537,0.048,0.006,-107.999,0.903,6.015,0.006,0.008,-38.246,0.737,6.075,0.006,0.007,-48.306,0.901,6.26,0.005,0.007,-54.673,0.896,6.649,0.001,0.005,-64.02,1.217,6.964,0.006,0.002,-8.855,4.072,7.18,0.037,0.013,-20.33,0.571,8.313,0.001,0.006,-10.708,1.47,8.417,0.004,0.011,-19.016,0.77,5.135,0.003,0.003,-127.956,1.638,5.712,0.008,0.007,-115.928,0.826,3.759,0.13,0.008,-72.229,0.482,6.16,0.003,0.007,-47.476,0.84,11.387,0.053,0.015,-12.39,0.741
